,name,workcount,fan_count,gender,image_url,about,average_rate,rating_count,review_count,website
64794,Amy  LeBlanc,2,14,unknown,https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png,"Amy LeBlanc is an MA student in English Literature and creative writing at the University of Calgary and non-fiction editor at filling Station magazine. She is the author of two chapbooks, most recently ""Ladybird, Ladybird"" published with Anstruther Press (August 2018). Amy's debut poetry collection, I know something you don’t know, is forthcoming with Gordon Hill Press in Spring 2020. Her short story collection ""Homebodies"" will be published by Pedlar Press in 2021. Her novella ""Unlocking"" will be published by the UCalgary Press in their Brave and Brilliant Series in 2022. Her work has appeared or is forthcoming in Room, PRISM International, and the Literary Review of Canada among others. ",5.0,30,9,
68404,Sarah   Boyd,1,1,unknown,https://images.gr-assets.com/authors/1571174661p7/19619947.jpg,"Sarah Boyd is a writer, speaker and the founder of Resilient Little Hearts. She is an expert in resilience, faith &amp; courage.<br /><br />She has an educational background in psychology &amp; neuroscience, and life experience as a cancer survivor. Sarah created Resilient Little Hearts as a resource to equip children to develop important life skills. <br /><br />Sarah is an Aussie, currently living in California with her husband Colin &amp; two young children",5.0,23,23,https://www.sarahboyd.co/
68838,Buddhism Today,10,1,unknown,https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png,,5.0,41,0,
135445,S. MUHAMMED SAKİ HAŞİMİ,1,2,unknown,https://s.gr-assets.com/assets/nophoto/user/u_333x500-46491541e26dbeac15f51487d68dd207.png,,5.0,21,1,
190018,Christina R. Jussaume,10,4,female,https://images.gr-assets.com/authors/1234253280p7/2740826.jpg,"<b>My name is Christina Rose Jussaume. I am a Wife, Mother and Grandmother. Member of <a target=""_blank"" href=""http://www.Poetryandpublishing.com"" rel=""nofollow"">www.Poetryandpublishing.com</a>. I am a Spiritual Author and Poetess. I have my own website listed below. I have written 8 poetry books, ""My Walk with Jesus"", ""Amazing Pets and Animals"", ""Spiritual Living Waters"", ""Joseph's Star of Eternal Promise,""To God Give the Glory"", ""Spiritual Enlightenment, ""Spiritual Encouragement"", and ""Spritual Victory"". My last three titles are a series on the theme of Spiritual Healing of Mind, Body, and Soul.<br />My first book, ""My Walk with Jesus"" won the best 2008 Spiritual Poetry award from <a target=""_blank"" href=""http://www.Christianstoryteller.com"" rel=""nofollow"">www.Christianstoryteller.com</a>. I am inspired to write to uplift others with my words and to praise God. ,B&gt;</b>",5.0,23,16,http://www.Poetesscrjussaume.com
197232,Митко Миджин,8,10,male,https://images.gr-assets.com/authors/1390408363p7/7752537.jpg,"<br />Казвам се Митко Миджин. Роден съм в село Насалевци, Трънско. От 1951 живея в София. Щастливо женен с Поли Миджинова. Имаме син. Работил съм в чужбина и на -45, и на +45. В Коми /къдете съм един от първите строители. От 1969 до 1971/ и в Либия /от 1974 до 1976 и от 1978 до 1979/. От 2000 съм собственик на студио ""ДИПС"".<br /><br />На 20 март 2012 излезе дебютната ми книга ""Биография"", в която съм описал трудния си живот в Коми.<br /><br />На 30 май 2012 излезе втората ми книга - ""Биография:Живот на достоен българин"".Там продължавам да описвам ""живота"" си в Коми.<br /><br />На 20 юни 2012 бе премиерата на филма ""Биография"" по едноименната ми дебютна книга.<br /><br />На 25 септември 2012 от печат излезе третата ми книга ""Биография:Жена ми"". В нея описвам силната подкрепа от Поли през всичките тези години.<br /><br />На 8 ноември 2012 излезе четвъртата ми книга - ""Биография:Код Либия"". В която описвам живота си под жаркото слънце и пустинните бури в бившата страна на Муамар Кадафи.<br /><br />На 2 февруари 2013 излеза петата ми книга - ""Биография:Синчето ми"". В нея разказвам за живота на сина ми Чочо.<br /><br />На 10 май 2013 излезе шестата ми книга - ""Биография - Стихове"". В нея съм събрал едни от най-добрите ми стихове.<br /><br />На 17 юли 2013 излезе седмата ми книга - ""Биография - Тайната съставка на 52 години брак"". В нея разказвам за хармоничния ми брак с жена ми Поленцето.<br /><br />На 12 август 2013 - аз и жена ми Поли сключихме договор за участие в петия сезон на риалити шоуто ""Бебе БУ и Мимо МУ"". <br />На 27 септември 2013 - аз и жена ми подписахме договор за участие в шестия сезон на риалити шоуто ""Бебе БУ и Мимо МУ"".<br /><br />На 6 януари 2014 излезе осмата ми книга - ""Биография:Китен"" . В нея разказваме заедно с жена ми Поли Миджинова за любовта ни към Китен.<br /><br />В момента подготвям деветата си книга и нови разкази.<br /><br />MM.DIR.BG<br />MIDZIN.WORDPRESS.COM<br /><a target=""_blank"" href=""https://GOODREADS.COM/MITKOMIDZIN"" rel=""nofollow"">GOODREADS.COM/MITKOMIDZIN</a><br />",5.0,79,6,http://www.mm.dir.bg
